Packet Number	Timestamp	Relative Time	Packet Size	Payload Length	Source IP	Source Port	Destination IP	Destination Port	IP Protocol	TCP Flags	TTL	Src Checksum	Dst Checksum	Validity
408	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0xC497	0xC497	valid
409	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0xBEE3	0xBEE3	valid
410	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0xB92F	0xB92F	valid
411	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0xB37B	0xB37B	valid
412	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0xADC7	0xADC7	valid
413	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0xA813	0xA813	valid
414	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0xA25F	0xA25F	valid
415	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0x9CC2	0x9CC2	valid
416	May 26 2024 20:56:20.000000 IST	1716737180	703	663	34.120.208.123	443	10.0.2.15	44176	6	0x1800	64	0x74B3	0x74B3	valid
417	May 26 2024 20:56:20.000000 IST	1716737180	703	663	34.120.208.123	443	10.0.2.15	44186	6	0x1800	64	0xA95A	0xA95A	valid
418	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44176	6	0x1000	64	0x68BF	0x68BF	valid
419	May 26 2024 20:56:20.000000 IST	1716737180	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0x9A1A	0x9A1A	valid
420	May 26 2024 20:56:21.000000 IST	1716737181	526	486	34.120.208.123	443	10.0.2.15	44164	6	0x1800	64	0xFA8A	0xFA8A	valid
421	May 26 2024 20:56:21.000000 IST	1716737181	93	53	34.120.208.123	443	10.0.2.15	44164	6	0x1800	64	0x2154	0x2154	valid
422	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44164	6	0x1000	64	0xDCE5	0xDCE5	valid
423	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44164	6	0x1000	64	0xDCCD	0xDCCD	valid
424	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44164	6	0x1000	64	0xDCCC	0xDCCC	valid
425	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44164	6	0x1100	64	0xDCCB	0xDCCB	valid
426	May 26 2024 20:56:21.000000 IST	1716737181	526	486	34.120.208.123	443	10.0.2.15	44176	6	0x1800	64	0xAFD6	0xAFD6	valid
427	May 26 2024 20:56:21.000000 IST	1716737181	93	53	34.120.208.123	443	10.0.2.15	44176	6	0x1800	64	0x058A	0x058A	valid
428	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44176	6	0x1000	64	0x6699	0x6699	valid
429	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44176	6	0x1000	64	0x6681	0x6681	valid
430	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44176	6	0x1000	64	0x6680	0x6680	valid
431	May 26 2024 20:56:21.000000 IST	1716737181	526	486	34.120.208.123	443	10.0.2.15	44186	6	0x1800	64	0x962F	0x962F	valid
432	May 26 2024 20:56:21.000000 IST	1716737181	93	53	34.120.208.123	443	10.0.2.15	44186	6	0x1800	64	0x551F	0x551F	valid
433	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0x97F4	0x97F4	valid
434	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0x97DC	0x97DC	valid
435	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1000	64	0x97DB	0x97DB	valid
436	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44176	6	0x1100	64	0x667F	0x667F	valid
437	May 26 2024 20:56:21.000000 IST	1716737181	60	20	34.120.208.123	443	10.0.2.15	44186	6	0x1100	64	0x97DA	0x97DA	valid
