Relative Time,Frame Length,Packet Size,Source IP,Source Port,Destination IP,Destination Port,IP Protocol,TTL,TCP Flags,Classification
1714758346.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758346.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758346.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758346.000000,187,187,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758346.000000,123,123,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758346.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758350.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758350.000000,140,140,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758350.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758350.000000,60,60,34.36.165.17,443,10.0.2.15,40644,6,64,0x1000,Benign
1714758350.000000,60,60,34.36.165.17,443,10.0.2.15,40644,6,64,0x1000,Benign
1714758350.000000,60,60,34.36.165.17,443,10.0.2.15,40644,6,64,0x1000,Benign
1714758350.000000,60,60,34.36.165.17,443,10.0.2.15,40644,6,64,0x1100,Benign
1714758351.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758351.000000,140,140,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758351.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758352.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758352.000000,139,139,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758352.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758353.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758353.000000,139,139,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758353.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758354.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758354.000000,139,139,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758354.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758355.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758355.000000,139,139,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758355.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758360.000000,60,60,34.107.243.93,443,10.0.2.15,52308,6,64,0x1000,Benign
1714758360.000000,60,60,34.107.243.93,443,10.0.2.15,52308,6,64,0x1000,Benign
1714758360.000000,60,60,34.107.243.93,443,10.0.2.15,52308,6,64,0x1100,Benign
1714758363.000000,60,60,34.149.100.209,443,10.0.2.15,55672,6,64,0x1000,Benign
1714758363.000000,60,60,34.149.100.209,443,10.0.2.15,55672,6,64,0x1000,Benign
1714758363.000000,60,60,34.149.100.209,443,10.0.2.15,55672,6,64,0x1000,Benign
1714758363.000000,60,60,34.149.100.209,443,10.0.2.15,55672,6,64,0x1100,Benign
1714758366.000000,60,60,35.201.103.21,443,10.0.2.15,47842,6,64,0x1000,Benign
1714758366.000000,60,60,34.98.75.36,443,10.0.2.15,42500,6,64,0x1000,Benign
1714758366.000000,60,60,34.98.75.36,443,10.0.2.15,42500,6,64,0x1000,Benign
1714758366.000000,60,60,35.201.103.21,443,10.0.2.15,47842,6,64,0x1000,Benign
1714758366.000000,60,60,35.201.103.21,443,10.0.2.15,47842,6,64,0x1000,Benign
1714758366.000000,60,60,34.98.75.36,443,10.0.2.15,42500,6,64,0x1100,Benign
1714758366.000000,60,60,35.201.103.21,443,10.0.2.15,47842,6,64,0x1100,Benign
1714758367.000000,60,60,34.160.144.191,443,10.0.2.15,52666,6,64,0x1000,Benign
1714758367.000000,60,60,34.160.144.191,443,10.0.2.15,52666,6,64,0x1000,Benign
1714758367.000000,60,60,34.160.144.191,443,10.0.2.15,52666,6,64,0x1000,Benign
1714758367.000000,60,60,34.160.144.191,443,10.0.2.15,52666,6,64,0x1100,Benign
1714758369.000000,60,60,35.201.103.21,443,10.0.2.15,58428,6,64,0x1200,Benign
1714758369.000000,60,60,34.98.75.36,443,10.0.2.15,46838,6,64,0x1200,Benign
1714758369.000000,60,60,35.201.103.21,443,10.0.2.15,58428,6,64,0x1000,Benign
1714758369.000000,60,60,34.98.75.36,443,10.0.2.15,46838,6,64,0x1000,Benign
